div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,1988,1,8,4399661.6388,1972034.1056,2647955.3128,32620.687372,68901.864844,0.0043473139,0.0090197616,0.0119089634,0.0138811847,
IV,1988,2,4,1217474.4115,292448.09244,498627.58985,9031.1818195,14206.081061,0.0046863312,0.0086684268,0.0117104148,0.0139898788,
IV,1988,3,9,1873767.7826,652416.74921,58454.567824,5423.9516215,20546.566577,0.0052939278,0.0144153006,0.0194224381,0.0160144028,
IV,1988,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1989,1,13,15080.476649,1902286.6817,3417620.9552,3844.4634335,50753.979822,0.0056547928,0.0086184197,0.0100101811,0.0163854533,
IV,1989,2,0,948.80394363,82878.390221,82421.31202,216.27339392,1599.4536009,0.0044324334,0.0081987856,0.0110759637,0.0131799699,
IV,1989,3,7,500985.41173,406910.17021,16779.967287,9243.1940296,6088.1164054,0.0047833514,0.0081912356,0.0126015826,0.0159226263,
IV,1989,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1990,1,4,1950.7640104,2791540.2144,2187010.5295,230861.40826,42833.026215,0.0042620837,0.0070135426,0.0093891018,0.0116378557,
IV,1990,2,0,1524.7428411,2181904.5948,1709396.2316,180444.31702,33478.857379,0.0037812524,0.0069942795,0.0094487633,0.0113746015,
IV,1990,3,13,296226.42533,57482.960794,2073.056213,474.87785749,1942.1872461,0.0044574649,0.0102016169,0.0135527105,0.0152748225,
IV,1990,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1991,1,6,45750.273794,1722520.8046,2373659.0607,7748.693633,62023.496296,0.0069082993,0.014260648,0.0155936349,0.0166811636,
IV,1991,2,28,1625921.9974,3011636.7516,467004.39475,8288.5149916,62034.316458,0.0057037249,0.0145419868,0.0189102093,0.0162460455,
IV,1991,3,15,215131.03078,57829.792126,992.12129488,100.05934312,1757.0681415,0.0052693787,0.010498264,0.0147401657,0.0172378061,
IV,1991,4,8,0,0,0,0,0,0.0061510186,0.0120619967,0.0157812386,0.018455283,
IV,1992,1,41,46056.173197,9943231.5962,1099429.2123,141129.33211,115149.53079,0.0066245742,0.0099239511,0.0127499634,0.0152195442,
IV,1992,2,34,254803.83416,1172359.0333,116160.73839,22603.075319,17893.401066,0.0059599008,0.0120735405,0.0155094534,0.0185222509,
IV,1992,3,24,1365521.5841,1550338.6243,208430.63116,4608.3073978,23429.486281,0.0036507537,0.0099199943,0.014317192,0.0175360726,
IV,1992,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1993,1,21,267246.80865,3220568.7507,4221240.9562,1163726.194,104120.02704,0.0062441527,0.0109185191,0.0123460402,0.0130330614,
IV,1993,2,30,1488116.0542,5017898.9924,1180690.3522,21943.899884,81650.486677,0.0079999487,0.0105575647,0.0138885879,0.0168912473,
IV,1993,3,24,1928283.7089,1821394.0011,292555.04739,28044.976985,23312.495599,0.002417669,0.0080809405,0.0120310413,0.0146987224,
IV,1993,4,7,0,0,0,0,0,0.0031154504,0.0153982352,0.0150788623,0.0172427866,
IV,1994,1,42,1097197.7131,40179969.913,419938.58115,86296.033543,282088.90499,0.0059251709,0.0067200668,0.0105014915,0.0134136012,
IV,1994,2,50,2636794.843,7054218.7735,1242387.7246,117810.32843,110698.59941,0.0079147746,0.010282754,0.0124741599,0.0152314806,
IV,1994,3,32,865462.10443,2956190.578,499514.97383,16753.42243,32316.38312,0.0028901409,0.0083207317,0.009879899,0.0168472844,
IV,1994,4,5,0,0,0,0,0,0.0041983667,0.0079275598,0.0113576763,0.0164350106,
IV,1995,1,40,224592.18216,25316502.954,2408437.8265,251892.35171,244083.66506,0.0038803439,0.0083112428,0.0122920274,0.0126846368,
IV,1995,2,47,692112.68415,9093699.0931,2435440.9447,380421.85486,136299.95182,0.0049884339,0.0102570876,0.0137394606,0.0160637418,
IV,1995,3,41,1996170.5135,4456435.8944,415480.21646,79782.053328,67220.436807,0.0083490034,0.0098088745,0.0132616257,0.0166934642,
