div,year,hy,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,2005,1,1071027.7769,20697702.537,508905.64056,81225.486691,220829.95454,0.0068031178,0.0099382513,0.012773314,0.0161316772
IV,2005,2,1297396.8042,5345725.2052,188691.37615,29049.328862,53182.778131,0.0055793713,0.0081070785,0.0115818263,0.0144758984
IV,2006,1,369179.37578,2692037.3381,2227282.1897,398268.16498,73017.221869,0.0077944663,0.0115552243,0.0145290549,0.016729244
IV,2006,2,199891.18374,144898.15555,172908.87,10817.819787,4702.5019865,0.0042238581,0.0099279306,0.0131186743,0.0139876636
IV,2007,1,771901.43964,6092518.2724,1605367.5813,229424.57,94797.498013,0.006658867,0.0107087089,0.0129740716,0.0156244611
IV,2007,2,509514.8773,323627.20694,18680.210827,21096.434011,5500.0176197,0.0047151474,0.0080386189,0.0119961117,0.0128919501
IV,2008,1,2277309.3383,2396891.0595,2277401.806,461494.67565,64699.98238,0.0045795991,0.0085247465,0.0120087897,0.0139338299
IV,2008,2,1418613.4965,184538.88784,84343.028756,22277.005758,7630.3922508,0.0037454398,0.0072593739,0.0090639915,0.0095587115
IV,2009,1,296910.50194,12849668.271,576446.20152,117973.15359,134669.60775,0.0046207099,0.0096334684,0.0134271919,0.0150182641
IV,2009,2,328613.47695,3716228.7046,474122.00854,71806.644094,37592.623921,0.0058177631,0.0079360719,0.0108775213,0.014362156
IV,2010,1,448941.64686,5168367.8068,3285687.7203,1834337.1829,116607.37608,0.0049195421,0.0091191513,0.0115681921,0.0152687375
IV,2010,2,455742.49453,2757853.9963,581603.51574,85141.553793,29069.154774,0.0048423971,0.0072940816,0.0096904301,0.0130402642
IV,2011,1,502403.60495,6889911.805,3348660.2187,858361.92819,115230.84523,0.0046285111,0.0089186512,0.0115498508,0.0148358671
IV,2011,2,145326.20454,503178.42273,156622.99671,63900.835245,8463.410312,0.0047509518,0.0095731974,0.0124354852,0.0157785602
IV,2012,1,213792.62343,6630284.4798,1929568.5514,258407.95511,87516.589688,0.0059265662,0.0088313225,0.0122590164,0.0155956115
IV,2012,2,116483.73308,481391.14331,79300.24356,31394.914793,5392.0366291,0.0041444785,0.0072708302,0.0118777489,0.0148830041
IV,2013,1,510285.79499,4588344.695,799779.75889,69821.695964,59291.963371,0.0052437515,0.0098728409,0.0128152334,0.0152789993
IV,2013,2,5824844.0773,46706.72319,44407.063492,47482.271331,13639.269069,0.0020756506,0.0086729769,0.0119263476,0.0129359359
IV,2014,1,1339987.817,14457524.627,768979.7522,51299.997063,145324.73093,0.0048509407,0.0088668124,0.0128548252,0.0145590177
IV,2014,2,4482518.1452,2217950.5277,127310.96635,13401.974331,49835.757579,0.0064912046,0.0085856316,0.0118562969,0.0139436686
IV,2015,1,441105.42766,24614317.887,3505445.2164,259828.22815,253814.24242,0.0052773019,0.0084531537,0.0112797013,0.0147750246
IV,2015,2,661434.52136,2746507.2916,824869.13221,92931.425011,35675.996957,0.0043072868,0.0080802187,0.011189247,0.0151182942
IV,2016,1,7328247.4058,14215594.616,4470603.2354,467647.21499,213201.00304,0.0044573771,0.0084291412,0.0120030239,0.0150583329
IV,2016,2,686240.36636,44474.00498,7283.2819254,1400.8319859,6139.394254,0.0077519745,0.0144412549,0.0198237715,0.0235816203
IV,2017,1,2226241.7633,12737836.759,718780.43044,113376.5138,123938.60575,0.0037204997,0.0082844517,0.011684766,0.0152252681
IV,2017,2,2681738.7706,916465.60346,93804.197392,36658.242846,21775.475451,0.0051496092,0.0069912382,0.0116522629,0.0126931423
IV,2018,1,7552932.7806,13893456.866,3369782.9255,435520.88676,169409.52455,0.0042552947,0.0071278419,0.009644128,0.0130341427
IV,2018,2,671606.58911,1283673.7878,230556.55002,12074.796059,14562.70138,0.0051444459,0.0068245737,0.0094502556,0.0139391944
IV,2019,1,3823566.5862,12057817.559,3408701.8392,204241.98114,131905.29862,0.0037582956,0.0068464929,0.0094634004,0.0133116098
IV,2019,2,3024858.6164,217694.92027,7696.8721084,492.83118923,21360.245028,0.0064263509,0.0083626405,0.0120219289,0.0170577346
IV,2020,1,675662.89035,11607731.828,2956938.5432,351103.31943,161293.75497,0.0059610693,0.0097311037,0.0129601096,0.0170537498
IV,2020,2,47895.497812,107228.4201,9216.0846223,1979.9111781,1156.482938,0.0048843936,0.0075202345,0.0097145339,0.0134499185
IV,2021,1,1113035.7025,6695784.531,1591435.5116,289211.22255,79604.517062,0.0060062938,0.0074924431,0.0116213403,0.0146992174
IV,2021,2,2527819.2502,266036.4765,14608.130557,112.44045594,20101.256583,0.0069087543,0.0090598381,0.0154069784,0.0165423124
IV,2022,1,1326960.0646,5528400.3048,783439.97685,110165.33194,70003.743417,0.0069541443,0.0087445648,0.0134684198,0.0170640675
IV,2022,2,75526.547849,21202.948626,1253.2522727,236.86072654,901.98917005,0.0076986246,0.0137785935,0.0185166239,0.0218939644
IV,2023,1,1160173.5432,6634401.8753,2110093.347,110358.61818,90518.01083,0.0052699615,0.0090157643,0.0109852584,0.0127687291
IV,2023,2,1835034.6903,335837.79172,43726.217884,1905.0053337,7846.1676506,0.0031858695,0.0049480312,0.0073190512,0.0095623674
IV,2024,1,9508223.2555,2913065.7583,634458.73775,56075.659593,77125.832349,0.0045953444,0.0086961018,0.0115366013,0.0138765065
IV,2024,2,0,0,0,0,0,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,2025,1,0,0,0,0,0,0.0057482149,0.0057482149,0.0057482149,0.0057482149
