div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1976,2,70,8098309.8673,18478138.701,1259221.509,68461.069536,226686.0821,0.0045115599,0.0091275272,0.016028963,0.0190815713
IV,1976,3,53,7937962.9257,6751324.1002,208981.08385,6420.7992618,60500.751543,0.0022508643,0.0059665963,0.0107567515,0.0160557792
IV,1976,4,16,4091461.5808,1187348.0492,34629.699497,1508.8571605,21165.389046,0.0034096067,0.005798334,0.0089251715,0.0141813754
IV,1977,1,37,2924470.1177,11252482.742,4206721.1564,70929.450768,165977.85339,0.0054100632,0.0084427484,0.0128115379,0.017782725
IV,1977,2,51,2892246.9245,4911455.6819,3321205.7865,46607.780765,123756.00602,0.0060438013,0.0112595354,0.015063785,0.0202816162
IV,1977,3,32,15928875.64,1993492.8336,1989016.2534,27993.071508,74314.601115,0.0022999016,0.0079167346,0.0108089663,0.0142389019
IV,1977,4,18,10110638.775,141198.4871,3368.7941833,131.45964338,25997.981913,0.0024752814,0.0066269937,0.0100659888,0.0127326767
IV,1978,1,52,527610.24132,28582269.416,305398.67319,62296.411659,203874.78923,0.003828057,0.0069017929,0.0120574063,0.0144436429
IV,1978,2,78,5705383.9062,10377769.189,1013377.1197,92383.341694,152012.62775,0.0045397389,0.0104199291,0.0159742232,0.0193549192
IV,1978,3,47,6376213.356,4916626.8592,958349.14097,22574.397005,77409.685335,0.0031765689,0.0091074979,0.0125172179,0.0168850766
IV,1978,4,22,10853179.911,1051882.535,10828.841546,1268.4367445,27080.756259,0.0019950141,0.0050687713,0.0078199032,0.0095211528
IV,1979,1,86,3673554.2483,32536423.786,402564.01425,65851.245199,212365.84796,0.004982781,0.005867206,0.0065874248,0.0112542346
IV,1979,2,55,1164567.609,11587774.626,1827630.9707,44542.685941,158343.71045,0.0054429397,0.0106362432,0.0152952733,0.0179736762
IV,1979,3,90,4036717.0141,6323162.9949,259710.01274,21194.898589,66348.831727,0.0033698777,0.0077481575,0.0130968799,0.0165764022
IV,1979,4,9,7701201.7288,77766.522063,16377.923347,891.26508138,23211.262677,0.0028767105,0.0107967431,0.0124504928,0.0152555258
IV,1980,1,0,0,12938136.192,15423767.949,1030038.1594,182021.48543,0.0057220959,0.0051657526,0.0069079094,0.0083856572
IV,1980,2,0,0,9646901.8466,11500232.592,768014.56367,135718.42017,0.0051415345,0.005136837,0.0069394936,0.0082774858
IV,1980,3,49,2691366.1817,3780165.9691,322964.73203,6574.1210539,46491.422968,0.0033026365,0.0087710124,0.0134164421,0.017325314
IV,1980,4,28,2164980.8697,791859.60902,26560.485331,12291.094992,16264.41043,0.0045777535,0.0073192194,0.0103677936,0.0229836174
IV,1981,1,61,509162.11525,10991613.914,1117872.2091,92438.477455,127544.64017,0.006707193,0.0098305398,0.0130562135,0.0160204388
IV,1981,2,32,572157.05351,3805635.4613,2724966.4134,155343.27732,95099.526433,0.0064852805,0.0122851207,0.015296802,0.0189951769
IV,1981,3,29,431271.67024,3870247.5962,250876.27945,5515.3451318,41318.651617,0.0049563123,0.0090353219,0.0163082198,0.0219127228
IV,1981,4,14,190492.42974,293279.68719,66595.975153,2511.2604014,6763.5810718,0.0063286526,0.0142959362,0.0196896418,0.0215278558
IV,1982,1,27,549042.4005,5867205.3164,475373.55726,40157.163374,66075.646648,0.0083881531,0.0088840381,0.0179581731,0.0201273717
IV,1982,2,48,925424.24291,5064168.396,934724.90013,41582.169693,79242.120663,0.0071880248,0.0111250643,0.0164039776,0.022062017
IV,1982,3,13,2575954.8395,365722.29985,38294.409805,2979.0456313,10926.175756,0.002937138,0.007823783,0.0117076813,0.0169753407
IV,1982,4,16,484110.90152,167999.33185,24684.108784,1036.4172521,3532.2999284,0.0041090228,0.0074939447,0.0108767371,0.0150682007
IV,1983,1,11,5442606.7949,2558340.9056,896865.17784,106105.74474,61999.002582,0.0047961429,0.0090391849,0.0124797168,0.0148661249
IV,1983,2,44,2417955.0775,1374659.9433,522909.9356,74360.351975,38342.521734,0.0042958326,0.0126753227,0.017163591,0.0209308472
IV,1983,3,27,1748198.8953,548159.72726,5487.9193146,0,11556.31374,0.0035307932,0.0096546677,0.0166702569,0.0166936455
IV,1983,4,8,673408.1901,69816.858115,1900.217954,0,3227.7856156,0.0038235759,0.0089997806,0.0129573977,0.0162173138
IV,1984,1,9,133793.4882,6997814.0074,326706.13451,1811.1955983,60027.054733,0.005142111,0.0078943544,0.0124433282,0.0168610183
IV,1984,2,23,570273.36361,2548528.8615,187371.93001,3503.7710694,37988.845911,0.0053922263,0.0123861024,0.0175530051,0.0167028735
IV,1984,3,29,405094.96203,612406.76239,10648.163528,1053.1150742,12282.82631,0.0092920147,0.0135340214,0.0196860311,0.0196860311
IV,1984,4,7,83898.203651,126834.03173,2205.3144965,218.10802713,2543.8654136,0.0092920147,0.0135340214,0.0196860311,0.0196860311
IV,1985,1,4,0,1220558.4552,1845192.6633,35256.164292,37008.378063,0.0057220959,0.0092920147,0.0135340214,0.0196860311
IV,1985,2,4,0,576003.84988,870780.15256,16638.028501,17464.930214,0.0051415345,0.0092920147,0.0135340214,0.0196860311
IV,1985,3,0,84760.311666,215856.07081,150819.07787,14916.172537,5496.3989361,0.0072579963,0.009879995,0.0165839916,0.0165839916
