div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,2005,4,2,32745.108963,55531.337558,3094.0529776,655.82287285,695.59048883,0.0049551715,0.0087859147,0.0117464513,0.0138682551
IV,2006,1,23,0,2102228.0447,1255828.4715,209672.92996,43261.169192,0.0058155742,0.0109126203,0.0135661276,0.0156118178
IV,2006,2,7,362401.26,540383.61584,930560.92306,181283.05045,28415.459956,0.0077944663,0.0140551154,0.0158285631,0.0180216651
IV,2006,3,13,182259.46701,131127.23419,157006.48716,9821.7398203,4267.5537614,0.0041534495,0.0099699589,0.0131611544,0.0139311888
IV,2006,4,0,12132.204009,9784.4061261,11145.221905,698.45434639,305.57048566,0.0052815906,0.0093646818,0.012520242,0.0147818184
IV,2007,1,34,0,1673572.3658,150230.94423,47799.855096,22653.549295,0.0058155742,0.0118922289,0.0133651572,0.0155448429
IV,2007,2,40,750664.47607,4251325.2986,1410968.9091,175312.66392,69535.829458,0.006658867,0.0102428057,0.0129324313,0.0156461694
IV,2007,3,13,449345.68627,279332.24779,15627.6812,17151.057161,4709.7501158,0.0046718456,0.0079009734,0.0119823117,0.0126070393
IV,2007,4,4,51385.140033,38715.616882,2730.4822606,3581.6737266,695.44704346,0.0050938077,0.0090317277,0.0120750945,0.0142562622
IV,2008,1,10,12963.002996,468459.3778,1376910.9297,254638.18273,24215.469013,0.0063234329,0.0103333282,0.0115503542,0.0132979368
IV,2008,2,9,2225085.4574,1887109.2115,861228.4042,198900.31156,39369.083827,0.0045694398,0.008075781,0.0127417251,0.0147479194
IV,2008,3,14,898526.96949,92318.620675,70476.124275,18081.331147,4521.8820992,0.0033796594,0.007314029,0.0090373352,0.0095695115
IV,2008,4,5,507443.86941,90575.659966,13115.24095,3997.1423428,3040.5082353,0.0043931244,0.007203667,0.0092072316,0.0095098572
IV,2009,1,33,0,4550101.1497,138366.72857,23071.419033,45855.532059,0.0058155742,0.0096136921,0.0128584332,0.0144328812
IV,2009,2,36,294264.44097,8185051.1124,432942.19493,93850.359964,87613.902606,0.0046207099,0.0096444622,0.013608965,0.0151621699
IV,2009,3,18,208310.9839,3445548.9987,417619.20565,63517.354859,33247.766713,0.0042240023,0.0078095072,0.0108886939,0.0143660444
IV,2009,4,5,117903.74254,243552.68233,53041.896714,7765.1286739,4070.445681,0.0086336014,0.0097265867,0.0107895551,0.0143303494
IV,2010,1,35,22539.075266,1598600.7342,404092.27147,56847.086813,17947.955315,0.0065617855,0.0080889316,0.0100818033,0.0138016509
IV,2010,2,28,423125.47226,3532039.9987,2857611.207,1764100.1484,97808.232291,0.004832063,0.0095854286,0.011778381,0.0153160135
IV,2010,3,15,320386.46444,2519551.0175,535504.69144,68815.78572,26174.73934,0.0051654851,0.0073040263,0.0096978771,0.0134222439
IV,2010,4,3,129759.65122,204437.3727,38956.910476,15280.255755,2537.4550768,0.0040446683,0.0071715198,0.0095880635,0.0113199899
IV,2011,1,28,3694.0245032,1977186.7991,827424.31818,143617.00116,27719.207509,0.00560118,0.0085990852,0.0105003268,0.0139820287
IV,2011,2,57,492540.21738,4828118.9898,2480115.3741,704204.50429,86096.638074,0.0046212161,0.0090495182,0.0118999965,0.0150100007
IV,2011,3,20,69195.749152,277801.08011,89518.297985,34680.30441,4677.0526134,0.0041804322,0.0097363791,0.0123723923,0.016593059
IV,2011,4,3,74278.78635,218966.11136,65109.091981,28406.340454,3678.5214356,0.0052824298,0.0093661697,0.0125222314,0.0147841671
IV,2012,1,37,10468.972956,2520169.6963,500802.60937,73457.443224,28763.08318,0.0060266396,0.0087324905,0.0110862645,0.0154052176
IV,2012,2,88,200599.61882,4025635.2328,1404180.408,181658.01546,57638.416771,0.0059213435,0.0088931943,0.0126772797,0.0156726015
IV,2012,3,15,108685.86328,449224.44214,69883.159961,25831.422037,4884.5036106,0.0040907961,0.0071711538,0.0118729412,0.0150481716
IV,2012,4,3,6611.0283466,27261.853511,8609.1011115,5243.6130156,452.59408049,0.0050270217,0.0089133108,0.0119167753,0.0140693452
IV,2013,1,31,14741.873517,2100321.0644,236316.43123,20838.152392,24286.579743,0.0069731612,0.0099514526,0.0125734789,0.0149325913
