div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,1991,1,6,43669.560782,1644180.9139,2265705.5365,7396.2846455,59202.680483,0.0069082993,0.014260648,0.0155936349,0.0166811636,
IV,1991,2,28,1551975.4005,2874668.1335,445765.13124,7911.5550402,59213.008546,0.0057037249,0.0145419868,0.0189102093,0.0162460455,
IV,1991,3,15,204887.13904,55076.111601,944.87946695,95.294818565,1673.4018487,0.0052693787,0.010498264,0.0147401657,0.0172378061,
IV,1991,4,8,0,0,0,0,0,0.0061510186,0.0120619967,0.0157812386,0.018455283,
IV,1992,1,41,43863.116944,9469764.8553,1047077.7045,134409.17838,109666.45695,0.0066245742,0.0099239511,0.0127499634,0.0152195442,
IV,1992,2,34,242670.84301,1116534.8272,110629.51389,21526.78495,17041.3712,0.0059599008,0.0120735405,0.0155094534,0.0185222509,
IV,1992,3,24,1320871.9656,1499645.8861,201615.39786,4457.6256586,22663.392477,0.0036507537,0.0099199943,0.014317192,0.0175360726,
IV,1992,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1993,1,21,258508.41287,3115263.0801,4083215.4571,1125674.8507,100715.52613,0.0062441527,0.0109185191,0.0123460402,0.0130330614,
IV,1993,2,30,1439457.8603,4853824.4891,1142084.3174,21226.38156,78980.691397,0.0079999487,0.0105575647,0.0138885879,0.0168912473,
IV,1993,3,24,1918805.4878,1812441.1821,291117.03211,27907.125644,23197.906139,0.002417669,0.0080809405,0.0120310413,0.0146987224,
IV,1993,4,7,0,0,0,0,0,0.0031154504,0.0153982352,0.0150788623,0.0172427866,
IV,1994,1,42,1091804.5842,39982470.635,417874.42912,85871.856911,280702.33464,0.0059251709,0.0067200668,0.0105014915,0.0134136012,
IV,1994,2,50,2623834.0299,7019544.7029,1236280.9336,117231.24749,110154.47523,0.0079147746,0.010282754,0.0124741599,0.0152314806,
IV,1994,3,32,855922.25427,2923604.9627,494008.90028,16568.752138,31960.164805,0.0028901409,0.0083207317,0.009879899,0.0168472844,
IV,1994,4,5,0,0,0,0,0,0.0041983667,0.0079275598,0.0113576763,0.0164350106,
IV,1995,1,40,222116.53851,25037443.197,2381890.0021,249115.78266,241393.16991,0.0038803439,0.0083112428,0.0122920274,0.0126846368,
IV,1995,2,47,684483.63689,8993460.7045,2408595.4693,376228.52568,134797.53928,0.0049884339,0.0102570876,0.0137394606,0.0160637418,
IV,1995,3,41,1968684.5496,4395073.6835,409759.32531,78683.506575,66294.855307,0.0083490034,0.0098088745,0.0132616257,0.0166934642,
IV,1995,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1996,1,2,303550.83358,289420.93977,789647.53337,230734.20387,21004.810471,0.0066956511,0.0110181398,0.0147500974,0.0179155759,
IV,1996,2,12,1098797.8233,972000.39802,2104381.9262,736580.66443,65171.593222,0.0078017727,0.0118510734,0.0153860426,0.0172311125,
IV,1996,3,8,1664700.6567,275835.29741,99324.998086,42484.718786,7984.3576514,0.0028855721,0.0063992167,0.0091394627,0.0119534017,
IV,1996,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1997,1,9,7798.62396,2324823.075,96924.745849,145790.75691,33836.494912,0.0072420915,0.0128451657,0.015082149,0.0167869748,
IV,1997,2,34,199517.80486,4523095.6484,829512.12493,232830.92483,75059.590436,0.0059128347,0.0121961242,0.0166084096,0.0211883236,
IV,1997,3,12,623098.3847,715090.22258,154021.2887,31774.184598,13911.360258,0.0071930512,0.0098422767,0.0123864611,0.0152163496,
IV,1997,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1998,1,25,117207.99813,3846097.6852,1166075.3853,182657.35277,78601.030937,0.0058373742,0.0141152453,0.0171839604,0.0196484556,
IV,1998,2,38,5468124.6199,2752127.7812,1301932.485,199753.17868,86852.977806,0.0051023827,0.0126017853,0.0158905584,0.0178939506,
IV,1998,3,16,1756268.456,1010561.0248,410072.1408,203700.43486,20157.365521,0.0043402082,0.0064122386,0.0098874234,0.0098197117,
IV,1998,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1999,1,41,951.6347414,15829415.862,334569.84083,20764.655348,158583.81429,0.005312438,0.0097533138,0.0115934505,0.0149578952,
IV,1999,2,25,132004.80372,2428382.8863,204563.45007,29394.17021,32426.030186,0.004696043,0.011707387,0.0140211878,0.0171405139,
IV,1999,3,24,2198833.4882,3205492.9335,533780.44965,128371.47266,47731.90896,0.0042130295,0.0095076012,0.0116836041,0.0136722816,
IV,1999,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2000,1,29,7129.3148148,10125465.734,1264271.4228,50764.537922,144670.28599,0.0067608146,0.0123374017,0.0148708575,0.0177149515,
