div,year,hy,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,2018,1,7516142.8849,13825782.646,3353368.9092,433399.48988,168584.34062,0.0042552947,0.0071278419,0.009644128,0.0130341427
IV,2018,2,664544.92562,1270176.4927,228132.34395,11947.834609,14409.580642,0.0051444459,0.0068245737,0.0094502556,0.0139391944
IV,2019,1,3783363.3765,11931034.63,3372860.7594,202094.46179,130518.36936,0.0037582956,0.0068464929,0.0094634004,0.0133116098
IV,2019,2,3010570.3021,216666.60991,7660.5149287,490.50323681,21259.347124,0.0064263509,0.0083626405,0.0120219289,0.0170577346
IV,2020,1,672471.30854,11552901.192,2942971.0582,349444.83709,160531.86288,0.0059610693,0.0097311037,0.0129601096,0.0170537498
IV,2020,2,47669.447621,106722.33903,9172.5878889,1970.5666818,1151.0247384,0.0048843936,0.0075202345,0.0097145339,0.0134499185
IV,2021,1,1107782.5588,6664182.7428,1583924.4862,287846.24557,79228.811262,0.0060062938,0.0074924431,0.0116213403,0.0146992174
IV,2021,2,2527765.9473,266030.86672,14607.822522,112.43808496,20100.832717,0.0069087543,0.0090598381,0.0154069784,0.0165423124
IV,2022,1,1326932.0836,5528283.7301,783423.45684,110163.00894,70002.267283,0.0069541443,0.0087445648,0.0134684198,0.0170640675
IV,2022,2,75477.639824,21189.21843,1252.4407158,236.70734484,901.4050773,0.0076986246,0.0137785935,0.0185166239,0.0218939644
IV,2023,1,1159422.2604,6630105.6973,2108726.9335,110287.15427,90459.394923,0.0052699615,0.0090157643,0.0109852584,0.0127687291
IV,2023,2,1832865.2885,335440.75993,43674.524182,1902.7532117,7836.8918095,0.0031858695,0.0049480312,0.0073190512,0.0095623674
IV,2024,1,9496982.5107,2909621.8942,633708.6724,56009.366221,77034.653191,0.0045953444,0.0086961018,0.0115366013,0.0138765065
IV,2024,2,0,0,0,0,0,0.0049929278,0.0049929278,0.0049929278,0.0049929278
IV,2025,1,0,0,0,0,0,0.0057482149,0.0057482149,0.0057482149,0.0057482149
